Station_code	lat	lon
05AB005	49.97735	-113.68603
05AB013	49.63938	-113.7953
05AB021	50.01852	-113.71484
05AB029	49.95413	-113.66354
05AB041	50.1291	-113.84663
05AB046	49.75476	-113.40726
05AC003	50.12765	-113.11819
05AC030	50.47247	-112.91402
05AC031	50.25185	-113.55414
05AD007	49.70942	-112.86288
05AD035	49.56628	-112.95427
05AE005	49.12501	-113.14256
05AE006	49.57346	-112.84671
05AG006	49.91889	-111.8
05AH001	49.96179	-109.98937
05AH002	49.94091	-110.04722
05AH005	50.02365	-110.68351
05AH037	49.88778	-110.50711
05AH041	49.5805	-110.9437
05AH047	50.16348	-110.25759
05AH050	50.01198	-109.98701
05AH052	50.00557	-110.53291
05AJ001	50.04209	-110.67754
05BH004	51.05027	-114.05146
05BM007	50.99449	-112.84209
05BM008	50.83462	-112.76305
05BM014	50.76404	-113.23631
05BN006	50.21665	-112.10495
05BN012	50.04728	-111.59092
05CC001	52.357	-113.795
05CC002	52.27053	-113.82311
05CC011	52.26849	-113.79985
05CD006	52.33191	-113.36296
05CD007	52.40747	-113.19576
05CD902	52.49111	-113.10417
05CE001	51.46727	-112.71149
05CE002	51.46946	-112.97827
05CE005	51.29354	-113.0113
05CE006	51.41583	-113.72778
05CE007	51.56446	-113.07342
05CE010	52.00117	-113.59972
05CE011	51.71784	-113.36112
05CE018	51.99747	-113.56856
05CG004	51.66211	-112.08397
05CG006	51.3908	-112.20187
05CH007	50.85509	-111.59061
05CH008	51.41616	-111.49633
05CJ006	50.73393	-111.68934
05CK001	50.9583	-111.06004
05CK004	50.90269	-110.2995
05CK005	50.89896	-110.508
05CK006	51.09586	-110.25898
05EC002	54.12306	-112.78278
05EC005	53.8966	-112.99602
05ED002	53.8888	-110.9211
05EE005	53.44246	-110.32566
05EE007	53.49162	-110.3988
05EE009	53.49118	-112.0398
05EF001	53.52319	-109.61789
05FA001	52.66325	-113.58141
05FA014	52.78509	-113.62909
05FB002	52.708	-111.31039
05FC001	52.57406	-112.34165
05FC002	52.51738	-112.35596
05FC004	52.38555	-112.13808
05FC007	52.25919	-111.7301
05FD001	52.75534	-110.48347
05FE002	53.00723	-110.86734
05FE004	52.85644	-110.01934
05FF003	52.755	-108.78111
05GA003	51.96955	-110.57635
05GA008	51.56666	-110.4736
05GA010	52.56523	-110.1484
05GA012	51.54768	-110.91978
05GG001	53.20346	-105.7725
05HA003	49.89942	-109.10619
05HC005	50.66197	-108.3815
05HD036	49.84444	-108.47944
05HG001	52.14067	-106.64431
05HG002	51.56231	-106.50083
05HG021	51.50408	-106.82089
05JA002	49.66861	-106.69416
05JA003	49.4378	-106.83583
05JB001	49.91747	-107.18633
05JB004	49.7091	-108.12658
05JB007	49.97714	-107.43658
05JC004	50.25297	-107.46981
05JC007	50.25111	-106.94611
05JE006	50.40033	-105.39786
05JF011	50.59056	-104.90861
05JG013	50.95133	-106.3295
05JJ003	51.64986	-105.23811
05JJ009	51.41611	-105.10306
05JK004	50.91597	-103.90156
05JL005	50.73417	-103.328
05JM001	50.49128	-101.55856
05JM010	50.53139	-102.71006
05JM015	50.59042	-101.74286
05LE004	52.25969	-101.14161
05LL014	49.90092	-99.21439
05MA011	51.74647	-103.8745
05MA012	52.05683	-104.49983
05MA016	51.99397	-104.55392
05MA021	51.81422	-104.20531
05MB001	51.3805	-102.50472
05MB003	51.63622	-102.36981
05MC001	51.93972	-102.54694
05MD004	51.56489	-101.91656
05MD010	51.38897	-101.83897
05ME006	50.11061	-101.03794
05ME007	50.83283	-101.57875
05ME009	50.26967	-101.38425
05MG004	50.02578	-100.39427
05MH005	49.69864	-98.88956
05NA003	49.00008	-103.35256
05NA005	49.48417	-104.3375
05NB011	49.78639	-104.03967
05NB021	49.03125	-102.84961
05NB041	49.46417	-103.68444
05ND010	49.52278	-102.17194
05ND011	49.347	-102.25575
05NE003	50.15219	-101.83703
05NF006	49.22106	-101.71897
05NF007	49.09499	-101.183
05NF010	49.58392	-101.84817
05NG001	49.59694	-99.67864
05NG003	49.59603	-100.96286
05NG021	49.61969	-100.24594
05NG024	49.84175	-101.39778
05OB016	49.02031	-98.6035
05OB021	49.0004	-98.45379
05OC001	49.00375	-97.22383
05OC012	49.567	-97.18175
05OF017	49.37933	-98.24972
06AA001	54.43605	-111.36745
06AA002	54.47454	-112.01435
06AB001	54.46749	-111.18759
06AC001	54.44199	-110.6867
07BC007	54.21048	-113.92242
07BE004	54.29315	-113.46346
11AA001	49.02196	-112.97293
11AA005	49.1436	-112.0817
11AA025	49.00753	-112.54589
11AA026	49.10772	-110.22367
11AA028	49.02517	-111.21581
11AA029	49.01769	-111.40356
11AA038	49.11104	-111.75814
11AB001	49.4145	-109.92147
11AB008	49.10036	-109.81761
11AB009	49.42536	-110.05331
11AB018	49.2325	-109.5575
11AB027	49.00242	-109.42297
11AB060	49.15392	-109.91725
11AB082	49.20264	-109.98489
11AB096	49.28667	-109.52417
11AB101	49.16367	-109.46494
11AB108	49.22808	-109.81681
11AB117	49.64886	-110.00503
11AB118	49.45014	-109.64475
11AC025	49.30725	-107.70369
11AC041	49.00014	-107.30222
11AC052	49.50556	-108.85028
05030500	46.36930084	-96.02089691
05051300	46.15399933	-96.57820129
05051522	46.6570015	-96.78199768
05051600	46.0223999	-97.51119995
05053000	46.4734993	-96.75389862
05054000	46.86149979	-96.78330231
05054500	47.70280075	-99.95149994
05056000	47.80530167	-98.71569824
05056060	48.45759964	-99.22389984
05056100	48.44710159	-99.10430145
05056215	48.26670074	-98.68119812
05056340	48.24330139	-99.37290192
05057000	47.43159866	-98.02739716
05057200	47.22800064	-98.12609863
