year	05AB021	05AC003	05AD007	05AE006	05AG006	05AJ001	05BH004	05BN012	05CC001	05CC002	05CE001	05CK004	05EF001	05FA001	05FE004	05GG001	05HD036	05HG001	05JE006	05JM001	05LL014	05MD004	05MH005	05NA003	05NB021	05ND010	05NG001	05NG024	05OB016	05OB021	05OC001	05OC012	11AA005	05051300	05051522	05053000	05054000	05054500	05056000	05057000	05057200	05058700	05059700	05060500	05061000	05061500	05062000	05062500	05064500	05066500	05069000	05079000	05080000	05082500	05082625	05084000	05090000	05092000	05113600	05114000	05120500	05123400	05245100	05267000	05270500	05270700	05291000	05304500	05315000	05316500	05316580	05317000	05319500	05320000	05320500	05325000	05449500	05457000	05459500	05471000	05476000	05476750	05479000	05480500	05481000	05481300	06468170	06468250	06469400	06470500	06470800	06470878	06471200	06471500	06472000	06473000	06475000	06476000	06477000	06477500	06478500	06478690	06479215	06479438	06479525	06480000	06481000	06482020	06605000
1984	0.00103544	0.000384235	0.003211779	0.006198096	0.003031692	0.0041496	0.004647089	0.004552706	0.003467696	0.00281879	0.004004788	0.003415859	0.008478294	0.004266056	0.008877713	0.009287288	0.00099976	0.003759141	0.005303368	0.005115677	7.12725e-05	0.007877548	0.00723706	0.013796819	0.005429339	0.013052849	0.008439668	0.004837436	0.001870239	0.000386829	0.007562424	0.006932852	0.003771849	0.002469495	0.002583365	0.00284504	0.00241786	0.030121614	0.013758915	0.012422299	0.012464299	0.011509955	0.00529842	0.000276276	0.013424763	0.001060965	0.008472927	0.007940738	0.006738239	0.00528561	0.006523905	0.007088413	0.006847607	0.006445141	0.003925146	0.003688811	0.001613098	0.007280769	0.014938655	0.007505018	0.02373513	0.022425887	0.012398722	0.009320853	0.006497764	0.008780469	0.00247331	0.011501923	0.010972642	0.00812115	0.007717574	0.003402485	0.003344205	0.002224797	0.000295295	0.006521836	0.001645151	0.000255358	0.000766113	0.000429831	0.007904031	0.006418869	0.001910984	0.004202345	0.000332967	0.003306642	0.018325187	0.017047129	0.019283418	0.012362306	0.006544636	0.010954776	0.002737944	0.002246812	0.008311673	0.007951327	0.006263135	0.005716517	0.005498531	0.002613258	0.006694387	0.005022323	0.001049645	0.005162096	0.004908785	0.005681076	0.005666267	0.006268671	0.001831818
1985	0.000747071	0.002091842	0.003760398	0.006596719	0.003921524	0.005804553	0.004454554	0.006842508	0.004308593	0.003243378	0.005815522	0.007372272	0.009613273	0.004950921	0.013885474	0.014459176	0.003673552	0.009554634	0.010857224	0.013247106	0.002870696	0.013767244	0.013854743	0.016588318	0.006391674	0.015553191	0.014234656	0.011088301	0.019102907	0.013503403	0.009126842	0.0091344	0.004906538	0.008014713	0.007320337	0.007896316	0.006868524	0.036363866	0.021216226	0.021948177	0.004933293	0.017946538	0.002644679	0.001323971	0.016484687	0.005600957	0.012128722	0.009534244	0.01105018	0.004234642	0.007913766	0.006839337	0.006650536	0.01013268	0.004877158	0.004608802	0.002548729	0.008997864	0.01702798	0.012396114	0.023416476	0.028074446	0.015963932	0.011480568	0.008204069	0.010850623	0.005462152	0.015600882	0.007830135	0.004733157	0.010863113	0.00245352	0.002600252	0.002435996	0.001366343	0.008371673	0.001088376	0.000448082	0.001129041	0.000511459	0.005436066	0.004311647	0.002312076	0.003151182	0.000389238	0.002596337	0.022079618	0.019896896	0.022675198	0.012671006	0.001698778	0.010643473	0.004432805	0.003748375	0.008407206	0.008234357	0.007685528	0.007464258	0.007646489	0.008271275	0.00892204	0.010530213	0.002008889	0.011448193	0.010458281	0.014804908	0.013621376	0.01344101	0.00157467
1986	0.000805342	0.001247345	0.004299863	0.00745643	0.004114159	0.005422378	0.005188079	0.005951175	0.004306582	0.003229669	0.005093106	0.0051181	0.010289447	0.004794061	0.011614516	0.011785109	0.003200949	0.006151499	0.008154884	0.009268313	0.001500681	0.016674924	0.011947949	0.017445086	0.006533079	0.017097842	0.011191939	0.017380787	0.020412785	0.018455838	0.011418163	0.011318659	0.005685598	0.015619025	0.013151192	0.014156947	0.012437143	0.02770315	0.016551336	0.019224501	0.015884848	0.01771167	0.007057862	0.001216331	0.017953204	0.009497629	0.014528905	0.010482527	0.013316664	0.006845682	0.008987131	0.008472021	0.008243576	0.012281398	0.00948616	0.007016899	0.002856517	0.011116921	0.017232082	0.011566744	0.017083301	0.019344952	0.015056659	0.009954941	0.00772237	0.009472947	0.00574335	0.014698157	0.010237648	0.007083792	0.012334743	0.003214162	0.003742947	0.003272353	0.002061974	0.009573442	0.00166292	0.000445673	0.001136473	0.000742073	0.00810797	0.006407035	0.002772579	0.004491286	0.000697756	0.003721425	0.023584456	0.021652202	0.021672387	0.017069136	0.014325949	0.016454509	0.011851024	0.011503635	0.017242496	0.017804611	0.018891671	0.018312396	0.018544025	0.012419558	0.018694026	0.008974419	0.002184667	0.02637289	0.02159698	0.026056576	0.023037395	0.020996688	0.002831516
1987	0.00053565	0.000670361	0.004296201	0.007347304	0.004016228	0.005283895	0.005160365	0.00585213	0.003369122	0.003178817	0.005603498	0.006406898	0.009599266	0.004324878	0.013073257	0.011999277	0.005542509	0.005951626	0.004316817	0.005175389	0.005274161	0.013201431	0.010651557	0.013215504	0.012881546	0.015516687	0.013544778	0.016598297	0.046357251	0.029999644	0.016243346	0.016504227	0.004892147	0.008142655	0.009308206	0.009971772	0.008795013	0.034420776	0.021547131	0.034318406	0.035982437	0.032548236	0.009837277	0.001600247	0.016437754	0.008693992	0.013527959	0.010041878	0.018717845	0.013683102	0.008878909	0.007479505	0.007266673	0.017150822	0.019445397	0.010454088	0.004222047	0.015766789	0.016538412	0.01082426	0.025801163	0.030045842	0.015590829	0.011211926	0.007704772	0.010560926	0.00578049	0.015811296	0.005358922	0.003837373	0.009960029	0.002408404	0.001973899	0.001736264	0.001523101	0.007120188	0.001137242	0.000529186	0.001049147	0.000749493	0.005065501	0.003708699	0.000994036	0.002541116	0.00062441	0.002225773	0.029165797	0.027477527	0.032001748	0.026242486	0.020989623	0.025785765	0.018934685	0.013640821	0.023325522	0.022632498	0.019905691	0.0184427	0.018161027	0.012291554	0.018470361	0.009499623	0.002023956	0.020487517	0.01719709	0.022046015	0.019215011	0.017786095	0.002009028
1988	0.000422095	0.000464994	0.003556321	0.004914174	0.003392343	0.004619426	0.004754115	0.00516255	0.002781701	0.002773299	0.004650426	0.00462309	0.008399996	0.003844492	0.009130053	0.009329783	0.002854006	0.004235391	0.001651177	0.004893264	0.000578099	0.015569867	0.006918308	0.00300763	0.003750162	0.00905979	0.004733022	0.004800711	0.004425168	0.00588897	0.006695268	0.006273363	0.002867744	0.005742864	0.006301631	0.006779961	0.005956543	0.018093172	0.008799417	0.011011738	0.014001061	0.010377189	0.002519793	0.000380328	0.017110875	0.007884227	0.013404264	0.010825777	0.007444656	0.007570733	0.009236244	0.007497658	0.007238811	0.007313338	0.008633682	0.005780415	0.001531133	0.007062468	0.005179166	0.004431242	0.008544721	0.015949212	0.015000251	0.011441198	0.006619569	0.010655207	0.004951927	0.013874636	0.006102082	0.004390063	0.009104208	0.002369624	0.002233545	0.002311481	0.001829651	0.006483868	0.00132308	0.000676137	0.001297499	0.000763764	0.005528324	0.00407568	0.001342094	0.00280313	0.000882867	0.002475058	0.013335373	0.012630367	0.023204422	0.011898588	0.002746978	0.010336441	0.003944956	0.003148878	0.0076729	0.007352172	0.00588295	0.005406017	0.005288568	0.005838152	0.00551529	0.007006929	0.001722623	0.012164888	0.010990676	0.014702308	0.013022733	0.012498012	0.002493468
1989	0.000580474	0.000477297	0.003860057	0.00701516	0.003722364	0.004907493	0.004641681	0.005373147	0.003682447	0.002798725	0.004111657	0.004687217	0.008016845	0.004575576	0.008240236	0.008796574	0.001723682	0.005113253	0.003157106	0.003265272	0.000839431	0.00704619	0.00547507	0.010017085	0.002854601	0.004908296	0.006053772	0.002147197	0.014246145	0.009441693	0.010727254	0.010403741	0.005127208	0.012015153	0.010350447	0.011248482	0.009773225	0.003901779	0.003733235	0.009929886	0.00748007	0.009567554	0.006668626	0.002576182	0.018374368	0.008601068	0.014387178	0.012068792	0.008859966	0.00858495	0.009459493	0.007111954	0.006963188	0.008828328	0.007869028	0.004111457	0.001461435	0.009574809	0.009478377	0.005065572	0.015226634	0.015528872	0.014363461	0.010953989	0.005217603	0.010117347	0.005798175	0.01079815	0.004444263	0.002880368	0.009209449	0.000836934	0.001082841	0.001718302	0.000907322	0.006114705	0.000992866	0.000457718	0.000697986	0.000696407	0.002041687	0.001660504	0.000772045	0.001262193	0.000689218	0.001243431	0.005003114	0.004758734	0.00939372	0.005822536	0.007365505	0.006045709	0.006492961	0.006177689	0.009993975	0.010425225	0.011022512	0.01001561	0.009536318	0.004550879	0.009292508	0.003974617	0.002425734	0.024385728	0.018719453	0.016342549	0.014241727	0.013015905	0.001207728
1990	0.000698511	0.001453974	0.00427674	0.006956709	0.004089161	0.00510678	0.005341859	0.005491927	0.004144135	0.003504916	0.005513513	0.005139154	0.008997312	0.004924311	0.010256769	0.009644942	0.000974628	0.004957961	0.004755353	0.010864099	0.00028509	0.01580531	0.009552189	0.010907837	0.002572774	0.015157856	0.005682792	0.011387978	0.011313794	0.007426108	0.004266348	0.004513866	0.005382417	0.003058432	0.004775333	0.005185641	0.00447211	0.001329561	0.001964736	0.003904844	0.00223578	0.00352552	0.000783988	0.000570492	0.017041093	0.005692859	0.012287849	0.010451751	0.003783125	0.001950944	0.007771513	0.005754324	0.005590048	0.003907244	0.002652284	0.00177118	0.000523016	0.004018508	0.008640391	0.008518517	0.002738952	0.010446748	0.013373276	0.011165837	0.005202076	0.010303452	0.002591803	0.0091754	0.00355247	0.002689052	0.006047924	0.000895738	0.000985474	0.001323665	0.001117137	0.004564119	0.001182406	0.000666501	0.000832381	0.000734652	0.002082322	0.001693892	0.000772914	0.00135062	0.000607723	0.001309361	0.001453086	0.001594865	0.005410294	0.002330618	0.002202212	0.002177338	0.000928804	0.001049487	0.002450242	0.002452405	0.002089475	0.001937379	0.001857371	0.001236691	0.001739023	0.001367513	0.001376089	0.005431988	0.005281273	0.005788447	0.005122842	0.004828035	0.001440799
1991	0.000765748	0.000967844	0.004850313	0.006641875	0.004498984	0.005527127	0.005438859	0.005937742	0.004309096	0.003828717	0.005370593	0.005210885	0.008394066	0.005335371	0.008632793	0.008976179	0.005306515	0.005286962	0.006918672	0.006657308	0.000803795	0.010161455	0.006975011	0.009643851	0.002831034	0.00824748	0.004715537	0.004196215	0.00896667	0.004647044	0.003534361	0.003531943	0.004493663	0.003681949	0.004729497	0.005160547	0.004435812	0.003710144	0.00247712	0.003636129	0.001366149	0.003179237	0.000814323	0.000226044	0.013270994	0.005360989	0.010302723	0.008214107	0.003530628	0.001482296	0.007001712	0.005507366	0.005338273	0.003565043	0.001396987	0.00143208	0.000433245	0.003634373	0.008270196	0.007090411	0.002277855	0.010698377	0.012731728	0.01049685	0.006026761	0.009792434	0.002882729	0.009499744	0.003962434	0.004367531	0.006932053	0.00165055	0.002679916	0.00446538	0.001583125	0.005933742	0.002272263	0.000484217	0.00152789	0.000956132	0.002965034	0.004117661	0.006520936	0.004343749	0.001086994	0.0038024	0.000972	0.000998548	0.002748571	0.001351142	0.001437555	0.001571498	0.002016022	0.001801208	0.002344262	0.002306155	0.00267619	0.00248546	0.002359982	0.000656541	0.002124099	0.001205358	0.001587023	0.005504398	0.005355014	0.005756518	0.005073154	0.00474527	0.001618972
1992	0.0007142	0.000850176	0.003628828	0.004189178	0.003538588	0.004688119	0.004845257	0.005174893	0.003608013	0.00281228	0.004555836	0.004433214	0.00708853	0.004408211	0.007671595	0.007800494	0.001416583	0.00403157	0.002437378	0.007481865	0.000601856	0.008129775	0.008653078	0.004228091	0.003162941	0.011570482	0.007069685	0.010920344	0.034363208	0.009884511	0.007729898	0.008006184	0.002779796	0.003338159	0.004480736	0.004821428	0.004215042	0.003378868	0.006202893	0.020138332	0.002869369	0.016345575	0.001328052	0.000437736	0.010820585	0.004889222	0.008486214	0.006127812	0.009157532	0.002378852	0.005761592	0.006305971	0.006101268	0.008240577	0.00338415	0.005217215	0.002216965	0.007193071	0.003890809	0.006427513	0.001817986	0.015243142	0.012388528	0.008621668	0.004658956	0.008008605	0.002903951	0.008909218	0.002724377	0.001946746	0.005873709	0.001078738	0.002450619	0.002818113	0.002115835	0.00456282	0.001900586	0.000733151	0.002022116	0.000629049	0.002863831	0.002588876	0.002645644	0.002348648	0.000714831	0.002105778	0.00567299	0.005357059	0.003941359	0.003236594	0.002409702	0.003110546	0.001048205	0.001156607	0.002895583	0.003057701	0.002713589	0.002690794	0.002603206	0.000853709	0.002331035	0.001315263	0.001592045	0.005557882	0.005400663	0.005260357	0.00467549	0.004503586	0.001467766
1993	0.001499371	0.004561926	0.006280636	0.007902968	0.006468811	0.006691323	0.00508601	0.006373557	0.003456631	0.003334514	0.005887481	0.007012172	0.006666611	0.004339584	0.010088212	0.00919669	0.00315988	0.007362132	0.009246675	0.005583128	0.001057208	0.006988501	0.006204363	0.009671874	0.006156	0.008127806	0.004658043	0.003923225	0.03016183	0.020379805	0.008909119	0.008772739	0.005950401	0.012373138	0.011036564	0.011969669	0.010390922	0.014617744	0.010481755	0.016789079	0.008186128	0.014873256	0.00559665	0.0003588	0.016096253	0.006286142	0.01220876	0.009710214	0.010954292	0.00237173	0.006548408	0.006541127	0.006304929	0.009920885	0.002267029	0.002269508	0.001643208	0.009167636	0.008161711	0.006140997	0.007341325	0.011859965	0.014241812	0.010907644	0.006742064	0.010205866	0.005442698	0.012367356	0.011514904	0.006565113	0.010978547	0.002705209	0.003760229	0.006072911	0.00362661	0.009408525	0.003727133	0.001058372	0.00393585	0.001194166	0.007987345	0.00809346	0.007540476	0.006968113	0.001675701	0.005990621	0.017054532	0.015554705	0.013084716	0.010472688	0.006795112	0.010033617	0.003954807	0.003077882	0.011249993	0.011206538	0.008825434	0.00808349	0.007739118	0.004624688	0.008739223	0.009192428	0.002385556	0.01771989	0.014960004	0.016117491	0.014616363	0.014214927	0.002476132
1994	0.001230426	0.00215178	0.006419582	0.008773968	0.006154585	0.007165222	0.005421397	0.007244197	0.003874063	0.003460114	0.005547743	0.006951086	0.007916151	0.005041257	0.009050828	0.01156053	0.008625155	0.010686049	0.025205779	0.016219906	0.000182141	0.009986282	0.013937105	0.019933408	0.009140222	0.014092839	0.0132168	0.016982687	0.033982234	0.015865098	0.013631664	0.013019461	0.006499197	0.018065225	0.016849753	0.018434089	0.015764288	0.011102206	0.011708867	0.027875329	0.039837387	0.028275269	0.011168481	0.002421898	0.015994976	0.006529173	0.012434321	0.00967111	0.018975039	0.009523101	0.007585018	0.006632534	0.006443939	0.017139284	0.00940419	0.007768815	0.003706279	0.014317858	0.018407005	0.016175406	0.025815285	0.015719479	0.014625109	0.01142753	0.007042608	0.010710163	0.007972602	0.014069482	0.010998775	0.008260598	0.013742634	0.002939662	0.00389511	0.005396586	0.003185543	0.010817797	0.00349539	0.001014206	0.003125764	0.001194166	0.007451686	0.007120149	0.006025657	0.005988169	0.001632625	0.00519243	0.022856467	0.022246761	0.029892995	0.027854848	0.025554418	0.02782833	0.029603522	0.02133636	0.031103766	0.031463166	0.028224382	0.025914206	0.024347702	0.009613777	0.023652227	0.011377026	0.003199156	0.040191689	0.031192786	0.03019602	0.026501898	0.024070637	0.002557996
1995	0.001352945	0.002065659	0.006759677	0.008866285	0.005961229	0.0062423	0.005375094	0.005981637	0.004015386	0.003527891	0.005600714	0.00550184	0.007925971	0.004748543	0.008458405	0.009234915	0.002739993	0.005900982	0.009409187	0.010500463	0.00047119	0.016477056	0.01550796	0.015611711	0.013725063	0.012909467	0.016952071	0.012337935	0.022993467	0.006647359	0.01881871	0.018416461	0.005771307	0.020557652	0.019899754	0.02179446	0.018691984	0.028527626	0.020615137	0.031805372	0.044990573	0.032138073	0.013019717	0.002734054	0.020656806	0.007571758	0.015626656	0.01255108	0.022215154	0.014343767	0.009359439	0.008084265	0.007861958	0.020339994	0.017328254	0.011266944	0.002027943	0.018618842	0.016346187	0.012601552	0.036419899	0.026997573	0.016850137	0.012313832	0.008594329	0.011607816	0.008980672	0.017588691	0.012440996	0.00820873	0.016036995	0.003401978	0.00304536	0.003703459	0.003022889	0.012035039	0.002664671	0.000818271	0.003044632	0.000977253	0.008379122	0.006984063	0.003343498	0.005034673	0.001258134	0.004331428	0.027564107	0.026318287	0.031529517	0.027670508	0.026849788	0.028526929	0.031565163	0.023182254	0.034721304	0.035896163	0.031568673	0.030177785	0.028997953	0.007532667	0.02753105	0.012340952	0.003148934	0.050759853	0.038922644	0.037374048	0.033015658	0.030088157	0.002558959
