Station_code	lat	lon
05AB021	50.01852	-113.71484
05AC003	50.12765	-113.11819
05AD007	49.70942	-112.86288
05AE006	49.57346	-112.84671
05AG006	49.91889	-111.8
05AJ001	50.04209	-110.67754
05BH004	51.05027	-114.05146
05BN012	50.04728	-111.59092
05CC001	52.357	-113.795
05CC002	52.27053	-113.82311
05CE001	51.46727	-112.71149
05CK004	50.90269	-110.2995
05EF001	53.52319	-109.61789
05FA001	52.66325	-113.58141
05FE004	52.85644	-110.01934
05GG001	53.20346	-105.7725
05HD036	49.84444	-108.47944
05HG001	52.14067	-106.64431
05JE006	50.40033	-105.39786
05JM001	50.49128	-101.55856
05LL014	49.90092	-99.21439
05MD004	51.56489	-101.91656
05MH005	49.69864	-98.88956
05NA003	49.00008	-103.35256
05NB021	49.03125	-102.84961
05ND010	49.52278	-102.17194
05NG001	49.59694	-99.67864
05NG024	49.84175	-101.39778
05OB016	49.02031	-98.6035
05OB021	49.0004	-98.45379
05OC001	49.00375	-97.22383
05OC012	49.567	-97.18175
11AA005	49.1436	-112.0817
05051300	46.15399933	-96.57820129
05051522	46.6570015	-96.78199768
05053000	46.4734993	-96.75389862
05054000	46.86149979	-96.78330231
05054500	47.70280075	-99.95149994
05056000	47.80530167	-98.71569824
05057000	47.43159866	-98.02739716
05057200	47.22800064	-98.12609863
05058700	46.44660187	-97.68019867
05059700	46.62200165	-97.57369995
05060500	47.01160049	-97.21379852
05061000	46.85029984	-96.32710266
05061500	46.79090118	-96.63050079
05062000	46.89699936	-96.62969971
05062500	47.2643013	-96.24829865
05064500	47.35219955	-96.84339905
05066500	47.41500092	-97.05609894
05069000	47.61289978	-96.81520081
05079000	47.77539825	-96.6115036
05080000	47.80020142	-96.80870056
05082500	47.92760086	-97.0286026
05082625	47.93299866	-97.51730347
05084000	48.19390106	-97.72789764
05090000	48.43310165	-97.39479828
05092000	48.57020187	-97.15660095
05113600	48.98130035	-103.0759964
05114000	48.99039841	-101.9570007
05120500	48.13819885	-100.5400009
05123400	48.58720016	-100.4440002
05245100	45.98040009	-94.86589813
05267000	45.82569885	-94.35520172
05270500	45.56119919	-94.23819733
05270700	45.54769897	-94.14720154
05291000	45.29180145	-96.48729706
05304500	45.10779953	-95.8003006
05315000	44.42750168	-95.85410309
05316500	44.52370071	-95.17220306
05316580	44.54169846	-94.98079681
05317000	44.2887001	-94.44029999
05319500	44.04669952	-94.1934967
05320000	44.09619904	-94.1088028
05320500	44.11009979	-94.04149628
05325000	44.16540146	-94.01300049
05449500	42.76160049	-93.61769867
05457000	43.63589859	-92.97389984
05459500	43.17050171	-93.1937027
05471000	42.01350021	-93.59130096
05476000	43.62009811	-94.98670197
05476750	42.71910095	-94.22129822
05479000	42.72330093	-94.18900299
05480500	42.5060997	-94.20220184
05481000	42.42969894	-93.80999756
05481300	42.24990082	-93.9957962
06468170	47.55870056	-98.86270142
06468250	47.39920044	-98.79720306
06469400	47.16490173	-98.97080231
06470500	46.35520172	-98.30609894
06470800	46.22510147	-98.07350159
06470878	45.93590164	-98.17359924
06471200	45.93899918	-98.45279694
06471500	45.65359879	-98.49770355
06472000	45.24309921	-98.38970184
06473000	45.0007019	-98.47170258
06475000	44.91139984	-98.47160339
06476000	44.36330032	-98.19889832
06477000	43.95970154	-98.0463028
06477500	43.77640152	-98.24530029
06478500	43.18569946	-97.63559723
06478690	43.41360092	-97.20379639
06479215	45.18019867	-97.18440247
06479438	45.00770187	-97.16290283
06479525	44.72439957	-97.04380035
06480000	44.18050003	-96.74939728
06481000	43.7983017	-96.73870087
06482020	43.56700134	-96.71140289
06605000	43.13119888	-95.21019745
